Time_Hour,Instrument_Code,Open,High,Low,Close,VWAP,TWAP,NumberOfTrades,Volume,Turnover,MinTimeHour,MaxTimeHour,Avg_Bid_Ask_Spread
2018-02-09 14:00:00+00:00,ABC,52.87272727,52.90909091,52.4,52.47272727,52.60589,52.60258182,2342,157337.0909,1001436807,2020-02-07 14:00:00.382924+00:00,2020-02-07 14:59:57.348294+00:00,0.013073636
2018-02-09 15:00:00+00:00,ABC,52.49090909,52.66363636,52.40909091,52.6,52.51757273,52.51516636,2002,145653.6364,925532016.1,2020-02-07 15:00:06.883326+00:00,2020-02-07 15:59:59.373640+00:00,0.01145
2018-02-09 16:00:00+00:00,ABC,52.59090909,52.9,52.50866364,52.84545455,52.82917091,52.70598,1584,1232938.545,7862971364,2020-02-07 16:00:03.065786+00:00,2020-02-07 16:35:28.737997+00:00,-0.276262727
2018-02-12 08:00:00+00:00,ABC,52.76363636,52.88181818,52.53636364,52.62727273,52.72867727,52.72559818,2446,208771,1331916672,2020-02-10 08:00:25.096166+00:00,2020-02-10 08:59:46.148536+00:00,-0.036482727
2018-02-12 09:00:00+00:00,ABC,52.63636364,52.75454545,52.43636364,52.43636364,52.63851273,52.64107273,940,64798,412735382.6,2020-02-10 09:00:01.217404+00:00,2020-02-10 09:58:23.974524+00:00,0.011024545
2018-02-12 10:00:00+00:00,ABC,52.43636364,52.73636364,52.40909091,52.71818182,52.60054364,52.59576727,1204,86313,549303511.2,2020-02-10 10:00:01.673591+00:00,2020-02-10 10:59:43.166522+00:00,0.011680909
2018-02-12 11:00:00+00:00,ABC,52.72727273,52.78181818,52.50549364,52.73636364,52.70502545,52.71154364,1303,134939.5455,860657481.5,2020-02-10 11:00:07.287168+00:00,2020-02-10 11:59:59.259939+00:00,0.011396364
2018-02-12 12:00:00+00:00,ABC,52.73636364,52.8,52.67272727,52.73636364,52.74132273,52.73473818,658,47717.09091,304478145.1,2020-02-10 12:00:02.628031+00:00,2020-02-10 12:59:50.957471+00:00,0.001980909
2018-02-12 13:00:00+00:00,ABC,52.74545455,52.74545455,52.55454545,52.59090909,52.64358545,52.64930818,1062,92054.18182,586437264.9,2020-02-10 13:00:00.097224+00:00,2020-02-10 13:59:43.474292+00:00,0.011374545
2018-02-12 14:00:00+00:00,ABC,52.58181818,52.60909091,52.36363636,52.40909091,52.47765273,52.48786091,1574,144134.8182,915404725.6,2020-02-10 14:00:07.823111+00:00,2020-02-10 14:59:59.744772+00:00,0.010856364
2018-02-12 15:00:00+00:00,ABC,52.4,52.59090909,52.39090455,52.54545455,52.48670909,52.49097091,1760,129712.9091,823859536.1,2020-02-10 15:00:00.148966+00:00,2020-02-10 15:59:50.901655+00:00,0.01052
